Ortsnetzkennzahl;Ortsnetzname;KennzeichenAktiv
2255;Euskirchen-Flamersheim;1
2256;Mechernich-Satzvey;1
2257;Reckerscheid;1
2261;Gummersbach;1
2262;Wiehl;1
2263;Engelskirchen;1
2264;Marienheide;1
2265;Reichshof-Eckenhagen;1
2266;Lindlar;1
2267;Wipperfürth;1
2268;Kürten;1
2269;Kierspe-Rönsahl;1
2271;Bergheim Erft;1
2272;Bedburg Erft;1
2273;Kerpen-Horrem;1
2274;Elsdorf Rheinl;1
2275;Kerpen-Buir;1
228;Bonn;1
2291;Waldbröl;1
2292;Windeck Sieg;1
2293;Nümbrecht;1
2294;Morsbach Sieg;1
2295;Ruppichteroth;1
2296;Reichshof-Brüchermühle;1
2297;Wildbergerhütte;1
2301;Holzwickede;1
2302;Witten;1
2303;Unna;1
2304;Schwerte;1
2305;Castrop-Rauxel;1
2306;Lünen;1
2307;Kamen;1
2308;Unna-Hemmerde;1
2309;Waltrop;1
231;Dortmund;1
2323;Herne;1
2324;Hattingen Ruhr;1
2325;Wanne-Eickel;1
2327;Bochum-Wattenscheid;1
2330;Herdecke;1
2331;Hagen Westf;1
2332;Gevelsberg;1
2333;Ennepetal;1
2334;Hagen-Hohenlimburg;1
2335;Wetter Ruhr;1
2336;Schwelm;1
2337;Hagen-Dahl;1
2338;Breckerfeld;1
2339;Sprockhövel-Haßlinghausen;1
234;Bochum;1
2351;Lüdenscheid;1
2352;Altena Westf;1
2353;Halver;1
2354;Meinerzhagen;1
2355;Schalksmühle;1
2357;Herscheid Westf;1
2358;Meinerzhagen-Valbert;1
2359;Kierspe;1
2360;Haltern-Lippramsdorf;1
2361;Recklinghausen;1
2362;Dorsten;1
2363;Datteln;1
2364;Haltern Westf;1
2365;Marl;1
2366;Herten Westf;1
2367;Henrichenburg;1
2368;Oer-Erkenschwick;1
2369;Dorsten-Wulfen;1
2371;Iserlohn;1
2372;Hemer;1
2373;Menden Sauerland;1
2374;Iserlohn-Letmathe;1
2375;Balve;1
2377;Wickede Ruhr;1
2378;Fröndenberg-Langschede;1
2379;Menden-Asbeck;1
2381;Hamm Westf;1
2382;Ahlen Westf;1
2383;Bönen;1
2384;Welver;1
2385;Hamm-Rhynern;1
2387;Drensteinfurt-Walstedde;1
2388;Hamm-Uentrop;1
2389;Werne;1
2391;Plettenberg;1
2392;Werdohl;1
2393;Sundern-Allendorf;1
2394;Neuenrade-Affeln;1
2395;Finnentrop-Rönkhausen;1
2401;Baesweiler;1
2402;Stolberg Rheinl;1
2403;Eschweiler Rheinl;1
2404;Alsdorf Rheinl;1
2405;Würselen;1
2406;Herzogenrath;1
2407;Herzogenrath-Kohlscheid;1
2408;Aachen-Kornelimünster;1
2409;Stolberg-Gressenich;1
241;Aachen;1
2421;Düren;1
2422;Kreuzau;1
2423;Langerwehe;1
2424;Vettweiss;1
2425;Nideggen-Embken;1
2426;Nörvenich;1
2427;Nideggen;1
2428;Niederzier;1
2429;Hürtgenwald;1
2431;Erkelenz;1
2432;Wassenberg;1
2433;Hückelhoven;1
2434;Wegberg;1
2435;Erkelenz-Lövenich;1
2436;Wegberg-Rödgen;1
2440;Nettersheim-Tondorf;1
2441;Kall;1
2443;Mechernich;1
2444;Schleiden-Gemünd;1
2445;Schleiden Eifel;1
2446;Heimbach Eifel;1
2447;Dahlem b Kall;1
2448;Hellenthal-Rescheid;1
2449;Blankenheim Ahr;1
2451;Geilenkirchen;1
2452;Heinsberg Rheinl;1
2453;Heinsberg-Randerath;1
2454;Gangelt;1
2455;Waldfeucht;1
2456;Selfkant;1
2461;Jülich;1
2462;Linnich;1
2463;Titz;1
2464;Aldenhoven b Jülich;1
2465;Inden;1
2471;Roetgen Eifel;1
2472;Monschau;1
2473;Simmerath;1
2474;Nideggen-Schmidt;1
2482;Hellenthal;1
2484;Mechernich-Eiserfey;1
2485;Schleiden-Dreiborn;1
2486;Nettersheim;1
2501;Münster-Hiltrup;1
2502;Nottuln;1
2504;Telgte;1
2505;Altenberge Westf;1
2506;Münster-Wolbeck;1
2507;Havixbeck;1
2508;Drensteinfurt;1
2509;Nottuln-Appelhülsen;1
251;Münster;1
2520;Wadersloh-Diestedde;1
2521;Beckum;1
2522;Oelde;1
2523;Wadersloh;1
2524;Ennigerloh;1
2525;Beckum-Neubeckum;1
2526;Sendenhorst;1
2527;Lippetal-Lippborg;1
2528;Ennigerloh-Enniger;1
2529;Oelde-Stromberg;1
2532;Ostbevern;1
2533;Münster-Nienberge;1
2534;Münster-Roxel;1
2535;Sendenhorst-Albersloh;1
2536;Münster-Albachten;1
2538;Drensteinfurt-Rinkerode;1
2541;Coesfeld;1
2542;Gescher;1
2543;Billerbeck Westf;1
2545;Rosendahl-Darfeld;1
2546;Coesfeld-Lette;1
2547;Rosendahl-Osterwick;1
2548;Dülmen-Rorup;1
2551;Steinfurt-Burgsteinfurt;1
2552;Steinfurt-Borghorst;1
2553;Ochtrup;1
2554;Laer Kr Steinfurt;1
2555;Schöppingen;1
2556;Metelen;1
2557;Wettringen Kr Steinfurt;1
2558;Horstmar;1
2561;Ahaus;1
2562;Gronau Westfalen;1
2563;Stadtlohn;1
2564;Vreden;1
2565;Gronau-Epe;1
2566;Legden;1
2567;Ahaus-Alstätte;1
2568;Heek;1
2571;Greven Westf;1
2572;Emsdetten;1
2573;Nordwalde;1
2574;Saerbeck;1
2575;Greven-Reckenfeld;1
2581;Warendorf;1
2582;Everswinkel;1
2583;Sassenberg;1
2584;Warendorf-Milte;1
2585;Warendorf-Hoetmar;1
2586;Beelen;1
2587;Ennigerloh-Westkirchen;1
2588;Harsewinkel-Greffen;1
2590;Dülmen-Buldern;1
2591;Lüdinghausen;1
2592;Selm;1
2593;Ascheberg Westf;1
2594;Dülmen;1
2595;Olfen;1
2596;Nordkirchen;1
2597;Senden Westf;1
2598;Senden-Ottmarsbocholt;1
2599;Ascheberg-Herbern;1
2601;Nauort;1
2602;Montabaur;1
2603;Bad Ems;1
2604;Nassau Lahn;1
2605;Löf;1
2606;Winningen Mosel;1
2607;Kobern-Gondorf;1
2608;Welschneudorf;1
261;Koblenz a Rhein;1
2620;Neuhäusel Westerw;1
2621;Lahnstein;1
2622;Bendorf Rhein;1
2623;Ransbach-Baumbach;1
2624;Höhr-Grenzhausen;1
2625;Ochtendung;1
2626;Selters Westferwald;1
2627;Braubach;1
2628;Rhens;1
2630;Mülheim-Kärlich;1
2631;Neuwied;1
2632;Andernach;1
2633;Brohl-Lützing;1
2634;Rengsdorf;1
2635;Rheinbrohl;1
2636;Burgbrohl;1
2637;Weissenthurm;1
2638;Waldbreitbach;1
2639;Anhausen Kr Neuwied;1
2641;Bad Neuenahr-Ahrweiler;1
2642;Remagen;1
2643;Altenahr;1
2644;Linz am Rhein;1
2645;Vettelschoss;1
2646;Königsfeld Eifel;1
2647;Kesseling;1
2651;Mayen;1
2652;Mendig;1
2653;Kaisersesch;1
2654;Polch;1
2655;Weibern;1
2656;Virneburg;1
2657;Uersfeld;1
2661;Bad Marienberg Westerwald;1
2662;Hachenburg;1
2663;Westerburg Westerw;1
2664;Rennerod;1
2666;Freilingen Westerw;1
2667;Stein-Neukirch;1
2671;Cochem;1
2672;Treis-Karden;1
2673;Ellenz-Poltersdorf;1
2674;Bad Bertrich;1
2675;Ediger-Eller;1
2676;Ulmen;1
2677;Lutzerath;1
2678;Büchel b Cochem;1
2680;Mündersbach;1
2681;Altenkirchen Westerwald;1
2682;Hamm Sieg;1
2683;Asbach Westerw;1
2684;Puderbach Westerw;1
2685;Flammersfeld;1
2686;Weyerbusch;1
2687;Horhausen Westerwald;1
2688;Kroppach;1
2689;Dierdorf;1
2691;Adenau;1
2692;Kelberg;1
2693;Antweiler;1
2694;Wershofen;1
2695;Insul;1
2696;Nohn Eifel;1
2697;Blankenheim-Ahrhütte;1
271;Siegen;1
2721;Lennestadt;1
2722;Attendorn;1
2723;Kirchhundem;1
2724;Finnentrop-Serkenrode;1
2725;Lennestadt-Oedingen;1
2732;Kreuztal;1
2733;Hilchenbach;1
2734;Freudenberg Westf;1
2735;Neunkirchen Siegerl;1
2736;Burbach Siegerl;1
2737;Netphen-Deuz;1
2738;Netphen;1
2739;Wilnsdorf;1
2741;Betzdorf;1
2742;Wissen;1
2743;Daaden;1
2744;Herdorf;1
2745;Brachbach Sieg;1
2747;Molzhain;1
2750;Diedenshausen;1
2751;Bad Berleburg;1
2752;Bad Laasphe;1
2753;Erndtebrück;1
2754;Bad Laasphe-Feudingen;1
2755;Bad Berleburg-Schwarzenau;1
2758;Bad Berleburg-Girkhausen;1
2759;Bad Berleburg-Aue;1
2761;Olpe Biggesee;1
2762;Wenden Südsauerland;1
2763;Drolshagen-Bleche;1
2764;Welschen Ennest;1
2770;Eschenburg;1
2771;Dillenburg;1
2772;Herborn Hess;1
2773;Haiger;1
2774;Dietzhölztal;1
2775;Driedorf;1
2776;Bad Endbach-Hartenrod;1
2777;Breitscheid Hess;1
2778;Siegbach;1
2779;Greifenstein-Beilstein;1
2801;Xanten;1
2802;Alpen;1
2803;Wesel-Büderich;1
2804;Xanten-Marienbaum;1
281;Wesel;1
2821;Kleve Niederrhein;1
2822;Emmerich;1
2823;Goch;1
2824;Kalkar;1
2825;Uedem;1
2826;Kranenburg Niederrhein;1
2827;Goch-Hassum;1
2828;Emmerich-Elten;1
2831;Geldern;1
2832;Kevelaer;1
2833;Kerken;1
2834;Straelen;1
2835;Issum;1
2836;Wachtendonk;1
2837;Weeze;1
2838;Sonsbeck;1
2839;Straelen-Herongen;1
2841;Moers;1
2842;Kamp-Lintfort;1
2843;Rheinberg;1
2844;Rheinberg-Orsoy;1
2845;Neukirchen-Vluyn;1
2850;Rees-Haldern;1
2851;Rees;1
2852;Hamminkeln;1
2853;Schermbeck;1
2855;Voerde Niederrhein;1
2856;Hamminkeln-Brünen;1
2857;Rees-Mehr;1
2858;Hünxe;1
2859;Wesel-Bislich;1
2861;Borken Westf;1
2862;Südlohn;1
2863;Velen;1
2864;Reken;1
2865;Raesfeld;1
2866;Dorsten-Rhade;1
2867;Heiden Kr Borken;1
2871;Bocholt;1
2872;Rhede Westf;1
2873;Isselburg-Werth;1
2874;Isselburg;1
2902;Warstein;1
2903;Meschede-Freienohl;1
2904;Bestwig;1
2905;Bestwig-Ramsbeck;1
291;Meschede;1
2921;Soest;1
2922;Werl;1
2923;Lippetal-Herzfeld;1
2924;Möhnesee;1
2925;Warstein-Allagen;1
2927;Neuengeseke;1
2928;Soest-Ostönnen;1
2931;Arnsberg;1
2932;Neheim-Hüsten;1
2933;Sundern Sauerland;1
2934;Sundern-Altenhellefeld;1
2935;Sundern-Hachen;1
2937;Arnsberg-Oeventrop;1
2938;Ense;1
2941;Lippstadt;1
2942;Geseke;1
2943;Erwitte;1
2944;Rietberg-Mastholte;1
2945;Lippstadt-Benninghausen;1
2947;Anröchte;1
2948;Lippstadt-Rebbeke;1
2951;Büren;1
2952;Rüthen;1
2953;Wünnenberg;1
2954;Rüthen-Oestereiden;1
2955;Büren-Wewelsburg;1
2957;Wünnenberg-Haaren;1
2958;Büren-Harth;1
2961;Brilon;1
2962;Olsberg;1
2963;Brilon-Messinghausen;1
2964;Brilon-Alme;1
2971;Schmallenberg-Dorlar;1
2972;Schmallenberg;1
2973;Eslohe Sauerland;1
2974;Schmallenberg-Fredeburg;1
2975;Schmallenberg-Oberkirchen;1
2977;Schmallenberg-Bödefeld;1
2981;Winterberg Westf;1
2982;Medebach;1
2983;Winterberg-Siedlinghausen;1
2984;Hallenberg;1
2985;Winterberg-Niedersfeld;1
2991;Marsberg-Bredelar;1
2992;Marsberg;1
2993;Marsberg-Canstein;1
2994;Marsberg-Westheim;1
30;Berlin;1
3301;Oranienburg;1
3302;Hennigsdorf;1
3303;Birkenwerder;1
3304;Velten;1
33051;Nassenheide;1
33052;Leegebruch;0
33053;Zehlendorf Kr Oberhavel;1
33054;Liebenwalde;1
33055;Kremmen;1
33056;Mühlenbeck Kr Oberhavel;1
3306;Gransee;1
3307;Zehdenick;1
33080;Marienthal Kr Oberhavel;1
33082;Menz Kr Oberhavel;1
33083;Schulzendorf Kr Oberhavel;1
33084;Gutengermendorf;1
33085;Seilershof;1
33086;Grieben Kr Oberhavel;1
33087;Bredereiche;1
33088;Falkenthal;1
33089;Himmelpfort;1
33093;Fürstenberg Havel;1
33094;Löwenberg;1
331;Potsdam;1
33200;Bergholz-Rehbrücke;1
33201;Gross Glienicke;1
33202;Töplitz;1
33203;Kleinmachnow;1
33204;Beelitz Mark;1
33205;Michendorf;1
33206;Fichtenwalde;1
33207;Gross Kreutz;1
33208;Fahrland;1
33209;Caputh;1
3321;Nauen Brandenb;1
3322;Falkensee;1
33230;Börnicke Kr Havelland;1
33231;Pausin;1
33232;Brieselang;1
33233;Ketzin;1
33234;Wustermark;1
33235;Friesack;1
33237;Paulinenaue;1
33238;Senzke;1
33239;Gross Behnitz;1
3327;Werder Havel;1
3328;Teltow;1
3329;Stahnsdorf;1
3331;Angermünde;1
3332;Schwedt/Oder;1
33331;Casekow;1
33332;Gartz Oder;1
33333;Tantow;1
33334;Greiffenberg;1
33335;Pinnow Kr Uckermark;1
33336;Passow Kr Uckermark;1
33337;Altkünkendorf;1
33338;Stolpe/Oder;1
3334;Eberswalde;1
3335;Finowfurt;1
33361;Joachimsthal;1
33362;Liepe Kr Barnim;1
33363;Altenhof Kr Barnim;1
33364;Gross Ziethen Kr Barnim;1
33365;Lüdersdorf Kr Barnim;1
33366;Chorin;1
33367;Friedrichswalde Brandenb;1
33368;Hohensaaten;1
33369;Oderberg;1
3337;Biesenthal Brandenb;1
3338;Bernau Brandenb;1
33393;Gross Schönebeck Kr Barnim;1
33394;Blumberg Kr Barnim;1
33395;Zerpenschleuse;1
33396;Klosterfelde;1
33397;Wandlitz;1
33398;Werneuchen;1
3341;Strausberg;1
3342;Neuenhagen b Berlin;1
33432;Müncheberg;1
33433;Buckow Märk Schweiz;1
33434;Herzfelde b Strausberg;1
33435;Rehfelde;1
33436;Prötzel;1
33437;Reichenberg b Strausberg;1
33438;Altlandsberg;1
33439;Fredersdorf-Vogelsdorf;1
3344;Bad Freienwalde;1
33451;Heckelberg;1
33452;Neulewin;1
33454;Wölsickendorf/Wollenberg;1
33456;Wriezen;1
33457;Altreetz;1
33458;Falkenberg Mark;1
3346;Seelow;1
33470;Lietzen;1
33472;Golzow b Seelow;1
33473;Zechin;1
33474;Neutrebbin;1
33475;Letschin;1
33476;Neuhardenberg;1
33477;Trebnitz b Müncheberg;1
33478;Gross Neuendorf;1
33479;Küstrin-Kietz;1
335;Frankfurt (Oder);1
33601;Podelzig;1
33602;Alt Zeschdorf;1
33603;Falkenhagen b Seelow;1
33604;Lebus;1
33605;Boossen;1
33606;Müllrose;1
33607;Briesen Mark;1
33608;Jacobsdorf Mark;1
33609;Brieskow-Finkenheerd;1
3361;Fürstenwalde Spree;1
3362;Erkner;1
33631;Bad Saarow-Pieskow;1
33632;Hangelsberg;1
33633;Spreenhagen;1
33634;Berkenbrück Kr Oder-Spree;1
33635;Arensdorf Kr Oder-Spree;1
33636;Steinhöfel Kr Oder-Spree;1
33637;Beerfelde;1
33638;Rüdersdorf b Berlin;1
3364;Eisenhüttenstadt;1
33652;Neuzelle;1
33653;Ziltendorf;1
33654;Fünfeichen;1
33655;Grunow Kr Oder-Spree;1
33656;Bahro;1
33657;Steinsdorf Brandenb;1
3366;Beeskow;1
33671;Lieberose;1
33672;Pfaffendorfb Beeskow;1
33673;Weichensdorf;1
33674;Trebatsch;1
33675;Tauche;1
33676;Friedland b Beeskow;1
33677;Glienicke b Beeskow;1
33678;Storkow Mark;1
33679;Wendisch Rietz;1
33701;Grossbeeren;1
33702;Wünsdorf;1
33703;Sperenberg;1
33704;Baruth Mark;1
33708;Rangsdorf;1
3371;Luckenwalde;1
3372;Jüterbog;1
33731;Trebbin;1
33732;Hennickendorf b Luckenwalde;1
33733;Stülpe;1
33734;Felgentreu;1
33741;Niedergörsdorf;1
33742;Oehna Brandenb;1
33743;Blönsdorf;1
33744;Hohenseefeld;1
33745;Petkus;1
33746;Werbig b Jüterbog;1
33747;Marzahna;1
33748;Treuenbrietzen;1
3375;Königs Wusterhausen;1
33760;Münchehofe Kr Dahme-Spreewald;1
33762;Zeuthen;1
33763;Bestensee;1
33764;Mittenwalde Mark;1
33765;Märkisch Buchholz;1
33766;Teupitz;1
33767;Friedersdorf b Berlin;1
33768;Prieros;1
33769;Töpchin;1
3377;Zossen Brandenb;1
3378;Ludwigsfelde;1
3379;Mahlow;1
3381;Brandenburg an der Havel;1
3382;Lehnin;1
33830;Ziesar;1
33831;Weseram;1
33832;Rogäsen;1
33833;Wollin b Brandenburg;1
33834;Pritzerbe;1
33835;Golzow b Brandenburg;1
33836;Butzow b Brandenburg;1
33837;Brielow;1
33838;Päwesin;1
33839;Wusterwitz;1
33841;Belzig;1
33843;Niemegk;1
33844;Brück Brandenb;1
33845;Borkheide;1
33846;Dippmannsdorf;1
33847;Görzke;1
33848;Raben;1
33849;Wiesenburg Mark;1
3385;Rathenow;1
3386;Premnitz;1
33870;Zollchow b Rathenow;1
33872;Hohennauen;1
33873;Grosswudicke;1
33874;Stechow Brandenb;1
33875;Rhinow;1
33876;Buschow;1
33877;Nitzahn;1
33878;Nennhausen;1
3391;Neuruppin;1
33920;Walsleben b Neuruppin;1
33921;Zechlinerhütte;1
33922;Karwesee;1
33923;Flecken Zechlin;1
33924;Rägelin;1
33925;Wustrau-Altfriesack;1
33926;Herzberg Mark;1
33927;Linum;0
33928;Wildberg Brandenb;1
33929;Gühlen-Glienicke;1
33931;Rheinsberg Mark;1
33932;Fehrbellin;1
33933;Lindow Mark;1
3394;Wittstock Dosse;1
3395;Pritzwalk;1
33962;Heiligengrabe;1
33963;Wulfersdorf b Wittstock;1
33964;Fretzdorf;1
33965;Herzsprung b Wittstock;1
33966;Dranse;1
33967;Freyenstein;1
33968;Meyenburg Kr Prignitz;1
33969;Stepenitz;1
33970;Neustadt Dosse;1
33971;Kyritz Brandenb;1
33972;Breddin;1
33973;Zernitz b Neustadt Dosse;1
33974;Dessow;1
33975;Dannenwalde Kr Prignitz;1
33976;Wutike;1
33977;Gumtow;1
33978;Segeletz;1
33979;Wusterhausen Dosse;1
33981;Putlitz;1
33982;Hoppenrade Kr Prignitz;1
33983;Gross Pankow Kr Prignitz;1
33984;Blumenthal b Pritzwalk;1
33986;Falkenhagen Kr Prignitz;1
33989;Sadenbeck;1
340;Dessau Anh;1
341;Leipzig;1
34202;Delitzsch;1
34203;Zwenkau;1
34204;Schkeuditz;1
34205;Markranstädt;1
34206;Rötha;1
34207;Zwochau;1
34208;Löbnitz B Delitzsch;1
3421;Torgau;1
34221;Schildau Gneisenaustadt;1
34222;Arzberg b Torgau;1
34223;Dommitzsch;1
34224;Belgern Sachs;1
3423;Eilenburg;1
34241;Jesewitz;1
34242;Hohenpriessnitz;1
34243;Bad Düben;1
34244;Mockrehna;1
3425;Wurzen;1
34261;Kühren b Wurzen;1
34262;Falkenhain b Wurzen;1
34263;Hohburg;1
34291;Borsdorf;1
34292;Brandis b Wurzen;1
34293;Naunhof b Grimma;1
34294;Rackwitz;1
34295;Krensitz;1
34296;Groitzsch b Pegau;1
34297;Liebertwolkwitz;1
34298;Taucha b Leipzig;1
34299;Gaschwitz;1
3431;Döbeln;1
34321;Leisnig;1
34322;Rosswein;1
34324;Ostrau Sachs;1
34325;Mochau-Lüttewitz;1
34327;Waldheim Sachs;1
34328;Hartha b Döbeln;1
3433;Borna Stadt;1
34341;Geithain;1
34342;Neukieritzsch;1
34343;Regis-Breitingen;1
34344;Kohren-Sahlis;1
34345;Bad Lausick;1
34346;Narsdorf;1
34347;Oelzschau b Borna;1
34348;Frohburg;1
3435;Oschatz;1
34361;Dahlen Sachs;1
34362;Mügeln b Oschatz;1
34363;Cavertitz;1
34364;Wermsdorf;1
3437;Grimma;1
34381;Colditz;1
34382;Nerchau;1
34383;Trebsen Mulde;1
34384;Grossbothen;1
34385;Mutzschen;1
34386;Dürrweitzschen B Grimma;1
3441;Zeitz;1
34422;Osterfeld;1
34423;Heuckewalde;1
34424;Reuden b Zeitz;1
34425;Droyssig;1
34426;Kayna;1
3443;Weissenfels Sachs-Anh;1
34441;Hohenmölsen;1
34443;Teuchern;1
34444;Lützen;1
34445;Stößen;1
34446;Grosskorbetha;1
3445;Naumburg Saale;1
34461;Nebra Unstrut;1
34462;Laucha Unstrut;1
34463;Bad Kösen;1
34464;Freyburg Unstrut;1
34465;Bad Bibra;1
34466;Janisroda;1
34467;Eckartsberga;1
3447;Altenburg Thür;1
3448;Meuselwitz Thür;1
34491;Schmölln Thür;1
34492;Lucka;1
34493;Gößnitz Thür;1
34494;Ehrenhain;1
34495;Dobitschen;1
34496;Nöbdenitz;1
34497;Langenleuba-Niederhain;1
34498;Rositz;1
345;Halle Saale;1
34600;Ostrau Saalkreis;1
34601;Teutschenthal;1
34602;Landsberg Sachs-Anh;1
34603;Nauendorf Sachs-Anh;1
34604;Niemberg;1
34605;Gröbers;1
34606;Teicha Sachs-Anh;1
34607;Wettin;1
34609;Salzmünde;1
3461;Merseburg Saale;1
3462;Bad Dürrenberg;1
34632;Mücheln Geiseltal;1
34633;Braunsbedra;1
34635;Bad Lauchstädt;1
34636;Schafstädt;1
34637;Frankleben;1
34638;Zöschen;1
34639;Wallendorf Luppe;1
3464;Sangerhausen;1
34651;Rossla;1
34652;Allstedt;1
34653;Rottleberode;1
34654;Stolberg Harz;1
34656;Wallhausen Sachs-Anh;1
34658;Hayn Harz;1
34659;Blankenheim b Sangerhausen;1
3466;Artern Unstrut;1
34671;Bad Frankenhausen Kyffhäuser;1
34672;Rossleben;1
34673;Heldrungen;1
34691;Könnern;1
34692;Alsleben Saale;1
3471;Bernburg Saale;1
34721;Nienburg Saale;1
34722;Preusslitz;1
3473;Aschersleben Sachs-Anh;1
34741;Frose;1
34742;Sylda;1
34743;Ermsleben;1
34745;Winningen Sachs-Anh;1
34746;Giersleben;1
3475;Lutherstadt Eisleben;1
3476;Hettstedt Sachs-Anh;1
34771;Querfurt;1
34772;Helbra;1
34773;Schwittersdorf;1
34774;Röblingen am See;1
34775;Wippra;1
34776;Rothenschirmbach;1
34779;Abberode;1
34781;Greifenhagen;1
34782;Mansfeld Südharz;1
34783;Gerbstedt;1
34785;Sandersleben;1
34901;Roßlau Elbe;1
34903;Coswig Anhalt;1
34904;Oranienbaum;1
34905;Wörlitz;1
34906;Raguhn;1
34907;Jeber-Bergfrieden;1
34909;Aken Elbe;1
3491;Lutherstadt Wittenberg;1
34920;Kropstädt;1
34921;Kemberg;1
34922;Mühlanger;1
34923;Cobbelsdorf;1
34924;Zahna;1
34925;Bad Schmiedeberg;1
34926;Pretzsch Elbe;1
34927;Globig-Bleddin;1
34928;Seegrehna;1
34929;Straach;1
3493;Bitterfeld;1
3494;Wolfen;1
34953;Gräfenhainichen;1
34954;Roitzsch b Bitterfeld;1
34955;Gossa;1
34956;Zörbig;1
3496;Köthen Anhalt;1
34973;Osternienburg;1
34975;Görzig Kr Köthen;1
34976;Gröbzig;1
34977;Quellendorf;1
34978;Radegast Kr Köthen;1
34979;Wulfen Sachs-Anh;1
3501;Pirna;1
35020;Struppen;1
35021;Königstein Sächs Schweiz;1
35022;Bad Schandau;1
35023;Bad Gottleuba;1
35024;Stadt Wehlen;1
35025;Liebstadt;1
35026;Dürrröhrsdorf-Dittersbach;1
35027;Weesenstein;1
35028;Krippen;1
35032;Langenhennersdorf;1
35033;Rosenthal Sächs Schweiz;1
3504;Dippoldiswalde;1
35052;Kipsdorf Kurort;1
35053;Glashütte Sachs;1
35054;Lauenstein Sachs;1
35055;Höckendorf b Dippoldiswalde;1
35056;Altenberg Sachs;1
35057;Hermsdorf Erzgeb;1
35058;Pretzschendorf;1
351;Dresden;1
35200;Arnsdorf b Dresden;1
35201;Langebrück;1
35202;Klingenberg Sachs;1
35203;Tharandt;1
35204;Wilsdruff;1
35205;Ottendorf-Okrilla;1
35206;Kreischa b Dresden;1
35207;Moritzburg;1
35208;Radeburg;1
35209;Mohorn;1
3521;Meissen;1
3522;Grossenhain Sachs;1
3523;Coswig b Dresden;1
35240;Tauscha b Großenhain;1
35241;Lommatzsch;1
35242;Nossen;1
35243;Weinböhla;1
35244;Krögis;1
35245;Burkhardswalde-Munzig;1
35246;Ziegenhain Sachs;1
35247;Zehren Sachs;1
35248;Schönfeld b Großenhain;1
35249;Basslitz;1
3525;Riesa;1
35263;Gröditz b Riesa;1
35264;Strehla;1
35265;Glaubitz;1
35266;Heyda b Riesa;1
35267;Diesbar-Seusslitz;1
35268;Stauchitz;1
3528;Radeberg;1
3529;Heidenau Sachs;1
3531;Finsterwalde;1
35322;Doberlug-Kirchhain;1
35323;Sonnewalde;1
35324;Crinitz;1
35325;Rückersdorf b Finsterwalde;1
35326;Schönborn Kr Elbe-Elster;1
35327;Priessen;1
35329;Dollenchen;1
3533;Elsterwerda;1
35341;Bad Liebenwerda;1
35342;Mühlberg Elbe;1
35343;Hirschfeld b Elsterwerda;1
3535;Herzberg Elster;1
35361;Schlieben;1
35362;Schönewalde b Herzberg;1
35363;Fermerswalde;1
35364;Lebusa;1
35365;Falkenberg Elster;1
